id,Nose_x0,Nose_y0,Neck_x1,Neck_y1,RShoulder_x2,RShoulder_y2,Relbow_x3,RElbow_y3,RWrist_x4,RWrist_y4,LShoulder_x5,LShoulder_y5,LElbow_x6,LElbow_y6,LWrist_x7,LWrist_y7,RHip_x8,RHip_y8,RKnee_x9,RKnee_y9,RAnkle_x10,RAnkle_y10,LHip_x11,LHip_y11,LKnee_x12,LKnee_y12,LAnkle_x13,LAnkle_y13,REye_x14,REye_y14,LEye_x15,LEye_y15,REar_x16,REar_y16,LEar_x17,LEar_y17,action,video_src
2556,913,86,972,145,960,141,948,203,NULL,NULL,978,149,984,231,978,305,948,247,930,274,936,348,966,262,942,293,936,348,913,74,930,70,NULL,NULL,966,74,"jump forward","Forward Jump _ By MovNat.mp4"
2557,913,82,966,145,960,141,942,200,NULL,NULL,30,274,30,317,36,340,948,231,936,274,936,344,966,243,948,286,942,344,913,74,924,70,NULL,NULL,18,247,"jump forward","Forward Jump _ By MovNat.mp4"
2558,913,86,966,141,960,137,942,196,NULL,NULL,30,274,30,317,36,348,948,223,930,270,930,344,972,231,966,274,942,344,913,74,924,74,NULL,NULL,18,247,"jump forward","Forward Jump _ By MovNat.mp4"
2559,913,86,966,141,960,137,942,192,NULL,NULL,30,274,30,321,30,352,948,219,930,278,930,344,972,223,966,278,942,348,913,78,924,74,NULL,NULL,18,247,"jump forward","Forward Jump _ By MovNat.mp4"
2560,913,90,966,141,960,137,NULL,NULL,NULL,NULL,30,274,30,317,30,348,942,231,930,282,924,344,972,239,966,286,930,344,913,78,924,78,NULL,NULL,18,247,"jump forward","Forward Jump _ By MovNat.mp4"
2561,913,90,966,141,954,137,NULL,NULL,NULL,NULL,30,274,30,317,30,352,942,227,930,274,930,329,966,235,972,278,930,333,913,78,924,78,NULL,NULL,24,247,"jump forward","Forward Jump _ By MovNat.mp4"
2562,913,90,18,274,954,137,936,215,NULL,NULL,36,274,30,313,41,340,966,313,NULL,NULL,NULL,NULL,30,344,30,411,24,501,907,78,18,243,NULL,NULL,24,243,"jump forward","Forward Jump _ By MovNat.mp4"
2563,913,86,18,274,954,137,930,231,913,293,36,274,30,313,41,340,972,321,960,470,984,610,30,344,30,411,24,501,907,78,18,243,NULL,NULL,24,243,"jump forward","Forward Jump _ By MovNat.mp4"
2564,913,90,18,274,954,137,930,223,913,231,30,274,30,313,41,337,960,321,960,466,984,607,30,344,30,411,24,501,907,82,18,243,NULL,NULL,24,243,"jump forward","Forward Jump _ By MovNat.mp4"
2565,907,90,18,274,954,141,936,227,NULL,NULL,30,274,30,313,41,337,972,325,960,470,984,607,30,344,30,411,24,501,901,82,18,243,NULL,NULL,24,243,"jump forward","Forward Jump _ By MovNat.mp4"
