iter	Accuracy	MultiClass
0	0.9147869674	1.605166787
1	0.9285714286	1.44075582
2	0.9373433584	1.329482153
3	0.9411027569	1.214798012
4	0.9411027569	1.130527429
5	0.9523809524	1.042461806
6	0.9498746867	0.9797780125
7	0.9573934837	0.9031874578
8	0.954887218	0.8535096592
9	0.9586466165	0.7995698781
10	0.9586466165	0.7565945503
11	0.9598997494	0.7041274145
12	0.9586466165	0.6660742126
13	0.9611528822	0.6329709772
14	0.9611528822	0.595491873
15	0.9636591479	0.5640885585
16	0.9611528822	0.5344381691
17	0.9611528822	0.5036385519
18	0.9661654135	0.4819665971
19	0.9686716792	0.4591195243
20	0.969924812	0.4389268689
21	0.969924812	0.4209499503
22	0.9736842105	0.402003544
23	0.9761904762	0.3837921219
24	0.9786967419	0.3674109131
25	0.9786967419	0.3540863573
26	0.9799498747	0.3412321086
27	0.9837092732	0.3288685122
28	0.9837092732	0.3184565494
29	0.984962406	0.3077509792
30	0.9862155388	0.2969532443
31	0.9862155388	0.2885792476
32	0.9862155388	0.2812943231
33	0.9862155388	0.2736309692
34	0.9862155388	0.2650917264
35	0.9874686717	0.2583873242
36	0.9862155388	0.2504252384
37	0.9874686717	0.243710549
38	0.9874686717	0.2368752807
39	0.9887218045	0.230778209
40	0.9887218045	0.2240295793
41	0.9887218045	0.2189183056
42	0.9899749373	0.2137516375
43	0.9912280702	0.2086830617
44	0.9912280702	0.2031790559
45	0.9912280702	0.1983864385
46	0.9912280702	0.1944482942
47	0.9912280702	0.1899331459
48	0.9912280702	0.1856863839
49	0.9912280702	0.1814167912
50	0.992481203	0.1775118988
51	0.992481203	0.1742053689
52	0.9912280702	0.1708474028
53	0.9912280702	0.1677988
54	0.9912280702	0.1645433048
55	0.9912280702	0.1617327047
56	0.992481203	0.1591742284
57	0.992481203	0.1563596988
58	0.992481203	0.1527392356
59	0.992481203	0.1501754436
