iter	Passed	Remaining
0	183	10854
1	336	9763
2	493	9375
3	647	9064
4	804	8854
5	956	8611
6	1118	8471
7	1262	8207
8	1420	8051
9	1577	7886
10	1729	7702
11	1867	7470
12	2022	7310
13	2177	7155
14	2323	6971
15	2477	6812
16	2618	6622
17	2750	6417
18	2899	6256
19	3044	6089
20	3195	5935
21	3332	5755
22	3486	5608
23	3632	5448
24	3778	5289
25	3925	5132
26	4082	4989
27	4232	4837
28	4384	4686
29	4527	4527
30	4671	4370
31	4829	4226
32	4997	4088
33	5155	3942
34	5302	3787
35	5463	3642
36	5612	3488
37	5760	3335
38	5907	3181
39	6060	3030
40	6207	2876
41	6356	2724
42	6506	2572
43	6654	2419
44	6802	2267
45	6954	2116
46	7100	1964
47	7246	1811
48	7394	1660
49	7544	1508
50	7693	1357
51	7833	1205
52	7977	1053
53	8126	902
54	8272	752
55	8421	601
56	8568	450
57	8704	300
58	8852	150
59	9005	0
