Nose_x0,Nose_y0,Neck_x1,Neck_y1,RShoulder_x2,RShoulder_y2,Relbow_x3,RElbow_y3,RWrist_x4,RWrist_y4,LShoulder_x5,LShoulder_y5,LElbow_x6,LElbow_y6,LWrist_x7,LWrist_y7,RHip_x8,RHip_y8,RKnee_x9,RKnee_y9,RAnkle_x10,RAnkle_y10,LHip_x11,LHip_y11,LKnee_x12,LKnee_y12,LAnkle_x13,LAnkle_y13,REye_x14,REye_y14,LEye_x15,LEye_y15,REar_x16,REar_y16,LEar_x17,LEar_y17
150,20,157,29,156,28,153.0,40.0,147.0,51.0,,,,,,,152,60,145,77,140.0,95.0,155,59,,,,,,,152,18,,,156,18
148,20,156,29,156,27,151.0,42.0,,,156.0,29.0,152.0,43.0,148.0,53.0,150,58,143,76,138.0,96.0,153,58,142.0,76.0,139.0,95.0,,,150,18,,,154,20
145,19,153,29,153,27,,,,,154.0,29.0,150.0,44.0,148.0,57.0,148,57,153,75,,,149,57,140.0,76.0,139.0,96.0,,,147,18,,,151,19
143,19,150,29,149,28,144.0,44.0,,,151.0,29.0,150.0,46.0,150.0,59.0,144,57,147,75,,,146,57,139.0,75.0,138.0,96.0,,,144,18,,,149,18
140,18,147,28,147,27,140.0,42.0,,,149.0,29.0,143.0,44.0,,,143,55,143,75,,,144,55,137.0,76.0,138.0,97.0,,,141,17,,,147,18
138,18,146,27,144,26,,,,,147.0,28.0,141.0,44.0,,,140,57,139,76,152.0,88.0,141,57,136.0,76.0,138.0,97.0,,,139,16,,,144,18
135,18,143,27,141,25,,,,,144.0,28.0,141.0,44.0,,,137,54,135,74,139.0,94.0,140,55,136.0,74.0,139.0,95.0,,,136,16,,,141,17
133,16,141,27,139,25,,,,,141.0,28.0,136.0,42.0,130.0,52.0,135,53,131,72,136.0,95.0,136,53,133.0,73.0,138.0,95.0,,,134,15,,,139,16
130,17,138,27,138,25,,,,,139.0,28.0,133.0,44.0,125.0,50.0,134,55,125,70,130.0,92.0,133,55,135.0,75.0,138.0,95.0,,,132,15,,,136,16
127,17,135,27,134,25,129.0,42.0,123.0,48.0,136.0,28.0,131.0,42.0,121.0,48.0,130,56,134,74,137.0,94.0,132,56,133.0,74.0,138.0,95.0,,,129,16,,,133,17
