Nose_x0,Nose_y0,Neck_x1,Neck_y1,RShoulder_x2,RShoulder_y2,Relbow_x3,RElbow_y3,RWrist_x4,RWrist_y4,LShoulder_x5,LShoulder_y5,LElbow_x6,LElbow_y6,LWrist_x7,LWrist_y7,RHip_x8,RHip_y8,RKnee_x9,RKnee_y9,RAnkle_x10,RAnkle_y10,LHip_x11,LHip_y11,LKnee_x12,LKnee_y12,LAnkle_x13,LAnkle_y13,REye_x14,REye_y14,LEye_x15,LEye_y15,REar_x16,REar_y16,LEar_x17,LEar_y17
3,1,3,0,1,1,2,0,2,0,2,0,1,1,1,0,1,0,1,0,4,1,2,0,1,1,1,0,2,0,3,0,0,0,2,0
1,0,0,0,2,0,1,1,3,1,3,0,2,0,3,2,2,1,2,0,2,0,2,2,1,2,1,0,1,0,2,0,0,0,2,0
2,0,3,0,1,0,2,0,0,0,1,0,3,0,2,0,2,0,2,1,2,1,2,1,2,2,1,0,2,0,1,0,0,0,2,0
2,1,2,0,2,0,2,0,3,0,3,0,2,0,1,1,2,0,0,1,1,0,3,1,3,1,1,0,2,0,2,0,0,0,1,0
1,0,2,0,4,0,2,1,1,1,1,0,0,0,1,0,3,0,2,1,0,1,1,1,4,0,1,1,2,0,2,0,0,0,1,1
2,0,2,0,1,1,3,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,2,1,1,0,2,0,1,0,0,0,2,0
2,1,1,1,2,0,2,0,1,2,2,1,2,0,0,0,2,0,1,0,1,0,2,0,4,0,3,3,2,1,2,1,0,0,2,0
1,0,1,0,2,0,1,0,1,1,1,0,0,1,0,1,1,1,2,1,0,1,2,1,3,1,9,2,1,0,1,0,0,0,1,1
2,0,2,1,1,1,1,0,2,1,1,1,1,1,0,3,2,1,2,2,3,1,0,1,2,1,2,0,2,0,2,0,0,0,2,0
2,0,2,0,1,0,2,0,2,3,2,0,1,1,2,2,1,0,2,0,4,1,2,0,1,1,3,1,2,0,2,0,0,0,2,0
1,0,1,1,2,1,1,0,4,1,2,0,3,1,1,1,2,0,0,0,1,0,3,1,5,0,6,0,1,0,2,0,0,0,2,0
2,0,2,0,1,0,2,0,3,0,2,1,2,1,1,0,1,1,2,0,0,1,2,0,3,0,5,1,2,1,1,0,139,59,2,1
2,0,2,0,3,0,3,0,3,0,1,0,1,0,0,1,1,0,8,0,14,1,2,0,2,0,4,1,2,0,2,0,139,59,1,0
1,1,2,0,2,0,1,1,2,0,3,0,1,0,1,0,2,1,3,0,14,0,1,1,3,0,5,0,2,0,2,1,136,59,2,0
2,1,2,1,2,1,2,0,3,0,1,1,3,0,2,0,2,0,2,1,1,0,3,1,4,1,2,0,1,0,1,0,136,59,2,0
2,1,1,1,2,1,2,1,1,0,2,1,2,0,2,0,2,1,4,1,1,0,1,0,2,1,0,1,2,0,2,0,133,59,1,0
2,0,2,0,1,0,1,0,2,0,2,0,3,0,3,0,3,0,1,1,0,0,3,0,2,0,0,0,2,0,2,0,133,59,3,0
2,1,3,0,2,0,3,0,1,0,2,0,1,0,4,0,2,1,3,1,2,0,2,1,1,0,0,0,3,0,2,1,0,0,2,0
2,1,0,0,1,0,1,0,1,0,2,0,3,0,13,0,2,0,4,1,4,2,1,1,1,0,0,1,1,0,3,1,0,0,2,0
2,1,3,1,2,1,2,0,0,2,2,1,2,1,2,2,2,1,3,0,9,2,2,0,0,1,1,1,2,1,1,1,0,0,2,1
2,0,1,1,1,0,1,0,0,1,3,1,4,0,2,1,0,1,2,1,4,0,2,1,0,1,2,2,2,1,2,1,0,0,1,0
1,0,2,1,6,0,3,0,2,5,0,1,2,2,1,3,4,2,4,2,2,0,1,2,0,2,2,1,1,0,2,0,0,0,1,1
2,0,3,1,1,1,2,2,3,1,2,1,2,0,4,4,2,0,4,0,4,0,1,0,1,0,1,1,2,0,1,0,0,0,3,0
3,0,1,1,2,1,2,1,2,2,2,1,2,1,3,1,2,0,1,0,4,0,3,0,1,1,1,0,2,0,2,0,0,0,1,1
1,0,2,0,2,0,1,1,4,3,2,0,4,0,6,3,2,0,3,0,4,0,1,1,0,0,1,1,2,0,2,0,0,0,3,0
2,1,2,1,118,65,117,74,112,81,3,1,4,1,2,1,1,1,0,0,5,0,2,0,3,1,0,0,2,2,2,2,0,0,2,1
2,1,1,0,116,66,113,74,108,77,2,0,3,0,4,0,2,0,4,0,3,0,3,0,0,1,0,1,1,1,3,1,0,0,1,0
3,0,3,0,2,0,1,0,1,0,2,0,2,0,1,1,2,0,2,0,3,0,0,0,1,0,1,1,3,0,2,1,0,0,4,0
2,0,2,0,1,1,3,0,3,1,2,0,1,1,2,0,2,1,1,0,1,0,3,1,4,1,1,1,2,0,2,1,0,0,1,0
1,1,2,1,4,0,2,0,1,0,1,1,2,0,1,1,4,1,2,3,0,1,3,1,3,1,1,1,2,2,1,1,0,0,1,1
2,1,2,0,2,0,3,1,1,1,3,0,0,0,1,0,3,0,1,0,0,0,3,1,5,0,2,2,2,0,2,0,0,0,3,0
2,1,2,1,3,0,2,0,2,0,2,1,2,0,0,1,2,1,2,1,0,0,1,0,4,1,5,2,1,0,3,1,0,0,1,1
2,1,2,2,1,2,1,0,0,0,1,2,1,0,0,0,1,0,2,0,3,1,1,1,3,0,12,4,3,0,1,0,0,0,2,0
2,0,2,1,2,2,2,1,100,77,2,1,2,0,0,2,1,1,2,1,0,0,2,0,2,1,2,0,2,0,2,0,0,0,2,1
2,0,1,1,2,1,1,0,98,77,2,1,1,1,0,2,2,1,2,1,4,0,2,0,0,0,5,1,1,0,2,0,0,0,2,0
2,1,3,1,2,1,2,0,4,1,2,1,2,1,2,0,2,0,0,0,0,1,2,1,7,2,5,0,2,0,2,0,0,0,2,1
3,1,1,0,2,0,2,0,2,1,2,0,1,0,4,0,1,0,0,0,5,0,2,0,1,1,4,0,3,0,2,0,0,0,2,0
1,0,2,0,2,0,2,0,4,2,1,0,2,1,4,1,2,1,2,2,6,1,1,1,3,0,8,1,1,0,2,0,0,0,2,0
2,1,3,1,2,0,2,0,2,0,2,1,1,0,3,1,3,1,3,0,1,1,2,0,2,0,4,0,2,0,2,0,0,0,2,1
2,0,2,1,3,0,2,0,3,0,3,0,3,1,0,0,2,0,9,1,24,1,4,1,1,1,3,0,2,1,2,1,0,0,2,0
3,0,2,0,1,0,2,0,2,0,1,0,3,0,4,1,2,0,4,1,23,1,2,0,4,0,1,1,3,0,2,0,0,0,2,0
1,0,2,0,2,0,2,1,0,4,3,1,4,0,11,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,2,0,0,0,2,0
2,1,1,1,2,1,2,0,2,0,1,1,0,1,0,1,3,0,4,0,3,2,1,0,1,1,0,1,2,1,2,0,0,0,2,0
2,2,3,0,2,0,2,1,2,4,3,0,2,0,2,1,2,0,4,1,4,2,2,0,1,2,0,0,2,2,2,1,0,0,2,1
